category,text,url,scheduled_time
イベント告知,"🗓【第46回小品盆栽銘品展】2025/9/27開催！詳細は👉",https://bonsai-catalog.vercel.app/events/shohin-bonsai-meihin-46,2025/9/23 09:00
イベント告知,"🗓【親子で楽しむ盆栽教室】2025/9/28開催！詳細は👉",https://bonsai-catalog.vercel.app/events/family-bonsai-class-september,2025/9/23 12:00
イベント告知,"🗓【笠間盆栽展】2025/10/3開催！詳細は👉",https://bonsai-catalog.vercel.app/events/ibaraki-kasama-bonsai-2025-10,2025/9/23 19:00
イベント告知,"🗓【大宮盆栽村100周年記念特別展「時をつなぐ盆栽の美」】2025/10/3開催！詳細は👉",https://bonsai-catalog.vercel.app/events/omiya-bonsai-village-100th-special-exhibition,2025/9/23 09:00
イベント告知,"🗓【第15回相模原草趣会展】2025/10/4開催！詳細は👉",https://bonsai-catalog.vercel.app/events/sagamihara-soshushu-kai-exhibition-15,2025/9/23 12:00
イベント告知,"🗓【盆栽の横浜逸品会 即売会】2025/10/4開催！詳細は👉",https://bonsai-catalog.vercel.app/events/kanagawa-yokohama-ippinkai-2025-10,2025/9/23 19:00
イベント告知,"🗓【第47回笠間支部盆栽展】2025/10/11開催！詳細は👉",https://bonsai-catalog.vercel.app/events/kasama-bonsai-exhibition-47,2025/9/23 09:00
イベント告知,"🗓【湘南はまゆう小品盆栽会】2025/10/11開催！詳細は👉",https://bonsai-catalog.vercel.app/events/kanagawa-shonan-hamayuu-2025-10,2025/9/23 12:00
イベント告知,"🗓【紅葉盆栽ワークショップ】2025/10/14開催！詳細は👉",https://bonsai-catalog.vercel.app/events/autumn-foliage-bonsai-workshop,2025/9/23 19:00
イベント告知,"🗓【近江湖鉢会 秋季展】2025/10/16開催！詳細は👉",https://bonsai-catalog.vercel.app/events/shiga-omi-kobachi-2025-10,2025/9/24 09:00
記事紹介,"📚【盆栽外交｜文化交流としての盆栽贈答マナー】国際的な文化交流における盆栽贈答の作法と外交的意義について、適切なマナーと文化的配慮を詳しく解説しま...続きは👉",https://bonsai-catalog.vercel.app/guides/bonsai-diplomacy-gift-etiquette,2025/9/24 12:00
記事紹介,"📚【世界の盆栽コンテスト｜参加方法と入賞戦略】国際的な盆栽コンテストへの参加方法から入賞のための戦略まで、世界の盆栽競技会の全てを解説します。...続きは👉",https://bonsai-catalog.vercel.app/guides/world-bonsai-contest-participation-guide,2025/9/24 19:00
記事紹介,"📚【盆栽の英語表現ガイド｜国際交流で使える専門用語】盆栽の英語表現を完全解説。国際的な盆栽コミュニティで必要な専門用語から実用的なコミュニケーションフレ...続きは👉",https://bonsai-catalog.vercel.app/guides/bonsai-english-terminology-guide,2025/9/24 09:00
記事紹介,"📚【東南アジア熱帯盆栽｜高温多湿環境での特殊管理】東南アジアの熱帯環境での盆栽管理を完全解説。高温多湿という厳しい条件下での特殊技術と熱帯在来種の魅力...続きは👉",https://bonsai-catalog.vercel.app/guides/southeast-asia-tropical-bonsai,2025/9/24 12:00
記事紹介,"📚【中国盆景との違い｜伝統技法と現代的融合】中国盆景と日本盆栽の違いを完全解説。起源から現代まで、両文化の特色、技法の相違、美学の違い、そして現...続きは👉",https://bonsai-catalog.vercel.app/guides/chinese-penjing-vs-japanese-bonsai,2025/9/24 19:00
記事紹介,"📚【ヨーロッパ盆栽事情｜各国の気候適応と在来種活用】ヨーロッパ各国の多様な気候での盆栽適応技術を完全解説。北欧の厳寒から地中海の乾燥まで、各地域の特色あ...続きは👉",https://bonsai-catalog.vercel.app/guides/european-bonsai-climate-adaptation,2025/9/24 09:00
記事紹介,"📚【アメリカ式盆栽テクニック｜西海岸スタイルの管理法】アメリカ西海岸で独自に発展した盆栽技術を完全解説。地中海性気候と多様な文化が生み出した革新的な管理法...続きは👉",https://bonsai-catalog.vercel.app/guides/american-bonsai-west-coast-style,2025/9/24 12:00
記事紹介,"📚【盆栽の国際輸出入ガイド｜検疫・法規制・手続き完全解説】盆栽の国際輸出入の手続きを完全解説。複雑な検疫制度や法規制をクリアして、安全に海外との盆栽取引を行う...続きは👉",https://bonsai-catalog.vercel.app/guides/bonsai-international-import-export-guide,2025/9/24 19:00
記事紹介,"📚【盆栽の撮影テクニック｜美しく記録し共有する方法】盆栽撮影の技術を完全解説。美しい写真を撮るためのライティング、構図、機材選びから、SNSでの効果的な...続きは👉",https://bonsai-catalog.vercel.app/guides/bonsai-photography-guide,2025/9/25 09:00
記事紹介,"📚【盆栽と茶道の関係｜和の文化の融合と楽しみ方】盆栽と茶道の深い関係を完全解説。茶席での盆栽の使い方から季節表現、美的調和まで、和の文化の融合を詳し...続きは👉",https://bonsai-catalog.vercel.app/guides/bonsai-tea-ceremony-guide,2025/9/25 12:00
記事紹介,"📚【盆栽師への道｜プロになるための修行と心構え】盆栽師になるための完全ガイド。弟子入りの方法から技術習得、独立までの道筋と必要な心構え、職業としての...続きは👉",https://bonsai-catalog.vercel.app/guides/bonsai-master-career-guide,2025/9/25 19:00
記事紹介,"📚【海外の盆栽事情｜世界に広がる BONSAI 文化の現在】世界各国の盆栽事情を完全解説。日本から世界に広がった盆栽文化の現状と各国での独自の発展を詳しく紹介し...続きは👉",https://bonsai-catalog.vercel.app/guides/global-bonsai-culture-guide,2025/9/25 09:00
記事紹介,"📚【盆栽の歴史と文化｜日本の美意識を深く理解する】盆栽の歴史と文化的背景を完全解説。中国から伝来した盆景から日本独自の盆栽文化への発展、現代への影響ま...続きは👉",https://bonsai-catalog.vercel.app/guides/bonsai-history-culture-guide,2025/9/25 12:00
記事紹介,"📚【盆栽クラブ活動ガイド｜仲間と楽しむ盆栽ライフ】盆栽クラブ活動の魅力と参加方法を完全解説。仲間と一緒に盆栽を楽しむことで、技術向上と豊かな交流を実現...続きは👉",https://bonsai-catalog.vercel.app/guides/bonsai-club-community-guide,2025/9/25 19:00
記事紹介,"📚【盆栽展示会入門｜初参加から入賞まで完全ガイド】盆栽展示会への参加方法を完全解説。初心者でも安心して参加できる準備方法から入賞を目指すコツまで詳しく...続きは👉",https://bonsai-catalog.vercel.app/guides/bonsai-exhibition-complete-guide,2025/9/25 09:00
記事紹介,"📚【オリーブ盆栽完全ガイド｜地中海風の魅力と美しいシルバーリーフ】地中海の風情あふれるオリーブ盆栽の魅力を完全解説。美しいシルバーリーフと実の収穫、モダンな空間にマッ...続きは👉",https://bonsai-catalog.vercel.app/guides/olive-bonsai-mediterranean-charm,2025/9/25 12:00
記事紹介,"📚【ブルーベリー盆栽完全ガイド｜洋風実もの盆栽の魅力と収穫の楽しみ】洋風実もの盆栽として人気のブルーベリーの魅力を完全解説。美しい花と実の収穫、健康効果まで楽しめる管理...続きは👉",https://bonsai-catalog.vercel.app/guides/blueberry-bonsai-western-style,2025/9/25 19:00
記事紹介,"📚【サルスベリの盆栽完全ガイド｜夏花を楽しむ美しい樹肌と管理法】夏の代表的な花木・サルスベリの盆栽の魅力を完全解説。美しい花と特徴的な樹肌を楽しむ管理法を詳しく紹介...続きは👉",https://bonsai-catalog.vercel.app/guides/crape-myrtle-summer-flowers,2025/9/26 09:00
記事紹介,"📚【ツバキ園芸品種別完全ガイド｜美しい花を楽しむ品種選びと管理法】ツバキの多様な園芸品種の特徴と育て方を完全解説。品種ごとの違いを理解して美しい花を楽しむ管理法を詳し...続きは👉",https://bonsai-catalog.vercel.app/guides/camellia-varieties-comprehensive-guide,2025/9/26 12:00
記事紹介,"📚【クマザサ盆栽完全ガイド｜和の心を表現する上品な笹の魅力】和の心を表現するクマザサ盆栽の魅力を完全解説。上品な笹の美しさと群生美を楽しむ管理法を詳しく紹介しま...続きは👉",https://bonsai-catalog.vercel.app/guides/kumazasa-bamboo-japanese-style,2025/9/26 19:00